,context,question_type,question
33,"As of the 2010 U.S. Census, there were 113,394 people, 45,634 households, and 21,704 families residing in the city. The population density was 4,270.33 people per square mile (2653.47/km²). There were 49,982 housing units at an average density of 1,748.0 per square mile (675.0/km²), making it less densely populated than inner-ring Detroit suburbs like Oak Park and Ferndale (and than Detroit proper), but more densely populated than outer-ring suburbs like Livonia or Troy. The racial makeup of the city was 73.0% White (70.4% non-Hispanic White), 7.7% Black or African American, 0.3% Native American, 14.4% Asian, 0.0% Pacific Islander, 1.0% from other races, and 3.6% from two or more races. Hispanic or Latino residents of any race were 4.1% of the population.",binary,"['Is the city more densely populated than Oak Park?', 'Is the city less densely populated than Livonia?', ""Is the majority of the city's population White?"", 'Is the percentage of Asian residents higher than the percentage of Black or African American residents?', 'Is the city experiencing a significant population decline?']"
34,"As of the 2010 U.S. Census, there were 113,394 people, 45,634 households, and 21,704 families residing in the city. The population density was 4,270.33 people per square mile (2653.47/km²). There were 49,982 housing units at an average density of 1,748.0 per square mile (675.0/km²), making it less densely populated than inner-ring Detroit suburbs like Oak Park and Ferndale (and than Detroit proper), but more densely populated than outer-ring suburbs like Livonia or Troy. The racial makeup of the city was 73.0% White (70.4% non-Hispanic White), 7.7% Black or African American, 0.3% Native American, 14.4% Asian, 0.0% Pacific Islander, 1.0% from other races, and 3.6% from two or more races. Hispanic or Latino residents of any race were 4.1% of the population.",factual,"['What was the population of the city according to the 2010 U.S. Census?', 'What is the population density of the city?', 'What is the average density of housing units in the city?', ""What percentage of the city's population is White?"", 'What is the percentage of Hispanic or Latino residents in the city?']"
35,"As of the 2010 U.S. Census, there were 113,394 people, 45,634 households, and 21,704 families residing in the city. The population density was 4,270.33 people per square mile (2653.47/km²). There were 49,982 housing units at an average density of 1,748.0 per square mile (675.0/km²), making it less densely populated than inner-ring Detroit suburbs like Oak Park and Ferndale (and than Detroit proper), but more densely populated than outer-ring suburbs like Livonia or Troy. The racial makeup of the city was 73.0% White (70.4% non-Hispanic White), 7.7% Black or African American, 0.3% Native American, 14.4% Asian, 0.0% Pacific Islander, 1.0% from other races, and 3.6% from two or more races. Hispanic or Latino residents of any race were 4.1% of the population.",open-ended,"['How does the population density of the city compare to its surrounding suburbs?', 'What are the racial demographics of the city?', ""What are the implications of the city's population density on its infrastructure and services?"", 'How does the racial makeup of the city reflect its history and social dynamics?', ""What are the challenges and opportunities presented by the city's diverse population?""]"
36,"Camillo di Cavour, under orders of Victor Emmanuel II of Piedmont-Sardinia, sent an expeditionary corps of 15,000 soldiers, commanded by General Alfonso La Marmora, to side with French and British forces during the war.:111–12 This was an attempt at gaining the favour of the French, especially when the issue of uniting Italy would become an important matter. The deployment of Italian troops to the Crimea, and the gallantry shown by them in the Battle of the Chernaya (16 August 1855) and in the siege of Sevastopol, allowed the Kingdom of Sardinia to be among the participants at the peace conference at the end of the war, where it could address the issue of the Risorgimento to other European powers.",binary,"['Did the Piedmont-Sardinian forces fight against the French and British?', 'Was the deployment of troops to Crimea solely for military purposes?', 'Did the Crimean War result in the immediate unification of Italy?']"
37,"Camillo di Cavour, under orders of Victor Emmanuel II of Piedmont-Sardinia, sent an expeditionary corps of 15,000 soldiers, commanded by General Alfonso La Marmora, to side with French and British forces during the war.:111–12 This was an attempt at gaining the favour of the French, especially when the issue of uniting Italy would become an important matter. The deployment of Italian troops to the Crimea, and the gallantry shown by them in the Battle of the Chernaya (16 August 1855) and in the siege of Sevastopol, allowed the Kingdom of Sardinia to be among the participants at the peace conference at the end of the war, where it could address the issue of the Risorgimento to other European powers.",factual,"['Who ordered the deployment of the Piedmont-Sardinian expeditionary corps?', 'How many soldiers were in the expeditionary corps?', 'Who commanded the Piedmont-Sardinian expeditionary corps?', 'In which battle did the Piedmont-Sardinian troops show gallantry?', 'What issue did the Kingdom of Sardinia want to address at the peace conference?']"
38,"Camillo di Cavour, under orders of Victor Emmanuel II of Piedmont-Sardinia, sent an expeditionary corps of 15,000 soldiers, commanded by General Alfonso La Marmora, to side with French and British forces during the war.:111–12 This was an attempt at gaining the favour of the French, especially when the issue of uniting Italy would become an important matter. The deployment of Italian troops to the Crimea, and the gallantry shown by them in the Battle of the Chernaya (16 August 1855) and in the siege of Sevastopol, allowed the Kingdom of Sardinia to be among the participants at the peace conference at the end of the war, where it could address the issue of the Risorgimento to other European powers.",open-ended,"['What was the significance of the Piedmont-Sardinian participation in the Crimean War for Italian unification?', 'How did the Crimean War affect the balance of power in Europe?', 'What were the long-term consequences of the Crimean War?']"
39,"Continental Portugal's 89,015 km2 (34,369 sq mi) territory is serviced by four international airports located near the principal cities of Lisbon, Porto, Faro and Beja. Lisbon's geographical position makes it a stopover for many foreign airlines at several airports within the country. The primary flag-carrier is TAP Portugal, although many other domestic airlines provide services within and without the country. The government decided to build a new airport outside Lisbon, in Alcochete, to replace Lisbon Portela Airport, though this plan has been stalled due to the austerity. Currently, the most important airports are in Lisbon, Porto, Faro, Funchal (Madeira), and Ponta Delgada (Azores), managed by the national airport authority group ANA – Aeroportos de Portugal.",binary,"['Does Continental Portugal have more than three international airports?', 'Is TAP Portugal a domestic airline?', 'Has the new airport in Alcochete been built?', 'Does ANA manage all airports in Portugal?']"
40,"Continental Portugal's 89,015 km2 (34,369 sq mi) territory is serviced by four international airports located near the principal cities of Lisbon, Porto, Faro and Beja. Lisbon's geographical position makes it a stopover for many foreign airlines at several airports within the country. The primary flag-carrier is TAP Portugal, although many other domestic airlines provide services within and without the country. The government decided to build a new airport outside Lisbon, in Alcochete, to replace Lisbon Portela Airport, though this plan has been stalled due to the austerity. Currently, the most important airports are in Lisbon, Porto, Faro, Funchal (Madeira), and Ponta Delgada (Azores), managed by the national airport authority group ANA – Aeroportos de Portugal.",factual,"['What is the area of Continental Portugal?', 'What are the four principal cities in Portugal with international airports?', ""Which airline is Portugal's primary flag-carrier?"", 'Where was the proposed new airport to replace Lisbon Portela Airport planned to be built?', 'What does ANA stand for in relation to Portuguese airports?']"
41,"Continental Portugal's 89,015 km2 (34,369 sq mi) territory is serviced by four international airports located near the principal cities of Lisbon, Porto, Faro and Beja. Lisbon's geographical position makes it a stopover for many foreign airlines at several airports within the country. The primary flag-carrier is TAP Portugal, although many other domestic airlines provide services within and without the country. The government decided to build a new airport outside Lisbon, in Alcochete, to replace Lisbon Portela Airport, though this plan has been stalled due to the austerity. Currently, the most important airports are in Lisbon, Porto, Faro, Funchal (Madeira), and Ponta Delgada (Azores), managed by the national airport authority group ANA – Aeroportos de Portugal.",open-ended,"['Why is Lisbon a stopover for many foreign airlines?', ""Explain the impact of Portugal's austerity measures on the planned new airport."", 'Describe the role of ANA in managing Portuguese airports.']"
42,"Deleting Records from a Table. To delete the data that is currently in a table, you use the DELETE statement, which is commonly referred to as a delete query. This is also known as truncating a table. The DELETE statement can remove one or more records from a table and generally takes this form:In both cases, you use the SQL statement INSERT INTO to accomplish the task. INSERT INTO statements are commonly referred to as append queries. To add one record to a table, you must use the field list to define which fields to put the data in, and then you must supply the data itself in a value list. To define the value list, use the VALUES clause.",binary,"['Can the DELETE statement remove multiple records from a table?', 'Is the INSERT INTO statement used for adding data to a table?', 'Does the VALUES clause specify the fields to be inserted into?']"
43,"Deleting Records from a Table. To delete the data that is currently in a table, you use the DELETE statement, which is commonly referred to as a delete query. This is also known as truncating a table. The DELETE statement can remove one or more records from a table and generally takes this form:In both cases, you use the SQL statement INSERT INTO to accomplish the task. INSERT INTO statements are commonly referred to as append queries. To add one record to a table, you must use the field list to define which fields to put the data in, and then you must supply the data itself in a value list. To define the value list, use the VALUES clause.",factual,"['What SQL statement is used to delete data from a table?', 'What is another term for a DELETE statement?', 'What clause is used to define the values to be inserted?']"
44,"Deleting Records from a Table. To delete the data that is currently in a table, you use the DELETE statement, which is commonly referred to as a delete query. This is also known as truncating a table. The DELETE statement can remove one or more records from a table and generally takes this form:In both cases, you use the SQL statement INSERT INTO to accomplish the task. INSERT INTO statements are commonly referred to as append queries. To add one record to a table, you must use the field list to define which fields to put the data in, and then you must supply the data itself in a value list. To define the value list, use the VALUES clause.",open-ended,"['Explain the purpose of the DELETE statement in SQL.', 'How does the INSERT INTO statement work in SQL?', 'What are the differences between deleting and truncating a table in SQL?']"
45,"Dosage Regimen. The recommended intramuscular dosage is 100 to 200 mcg of gonadorelin (2 to 4 mL) per cow, used in estrous synchrony programs similar to the following: 1  Administer the first dose of FACTREL (2 to 4 mL) at Day 0. (FACTREL is already approved for the treatment of cystic ovaries in cattle.). The recommended intramuscular dosage is 100 to 200 mcg of gonadorelin (2 to 4 mL) per cow, used in estrous synchrony programs similar to the following: 1  Administer the first dose of FACTREL (2 to 4 mL) at Day 0.Descriptions. Gonadorelin is a medicine that is the same as gonadotropin-releasing hormone (GnRH) that is naturally released from the hypothalamus gland. GnRH causes the pituitary gland to release other hormones (luteinizing hormone [LH] and follicle-stimulating hormone [FSH]). LH and FSH control development in children and fertility in adults. Gonadorelin is used to test how well the hypothalamus and the pituitary glands are working. Proceeds from website advertising help support our mission. Mayo Clinic does not endorse non-Mayo products and services.",binary,"['Is gonadorelin a synthetic version of GnRH?', 'Is FACTREL administered on Day 0 of the estrous synchrony program?', 'Does gonadorelin impact fertility in adults?']"
46,"Dosage Regimen. The recommended intramuscular dosage is 100 to 200 mcg of gonadorelin (2 to 4 mL) per cow, used in estrous synchrony programs similar to the following: 1  Administer the first dose of FACTREL (2 to 4 mL) at Day 0. (FACTREL is already approved for the treatment of cystic ovaries in cattle.). The recommended intramuscular dosage is 100 to 200 mcg of gonadorelin (2 to 4 mL) per cow, used in estrous synchrony programs similar to the following: 1  Administer the first dose of FACTREL (2 to 4 mL) at Day 0.Descriptions. Gonadorelin is a medicine that is the same as gonadotropin-releasing hormone (GnRH) that is naturally released from the hypothalamus gland. GnRH causes the pituitary gland to release other hormones (luteinizing hormone [LH] and follicle-stimulating hormone [FSH]). LH and FSH control development in children and fertility in adults. Gonadorelin is used to test how well the hypothalamus and the pituitary glands are working. Proceeds from website advertising help support our mission. Mayo Clinic does not endorse non-Mayo products and services.",factual,"['What is the recommended dosage of gonadorelin for cows?', 'What is the intramuscular dosage of gonadorelin per cow?', 'What is FACTREL approved for the treatment of in cattle?', 'What hormones are released by the pituitary gland due to GnRH?', 'What is the role of LH and FSH in adults?']"
47,"Dosage Regimen. The recommended intramuscular dosage is 100 to 200 mcg of gonadorelin (2 to 4 mL) per cow, used in estrous synchrony programs similar to the following: 1  Administer the first dose of FACTREL (2 to 4 mL) at Day 0. (FACTREL is already approved for the treatment of cystic ovaries in cattle.). The recommended intramuscular dosage is 100 to 200 mcg of gonadorelin (2 to 4 mL) per cow, used in estrous synchrony programs similar to the following: 1  Administer the first dose of FACTREL (2 to 4 mL) at Day 0.Descriptions. Gonadorelin is a medicine that is the same as gonadotropin-releasing hormone (GnRH) that is naturally released from the hypothalamus gland. GnRH causes the pituitary gland to release other hormones (luteinizing hormone [LH] and follicle-stimulating hormone [FSH]). LH and FSH control development in children and fertility in adults. Gonadorelin is used to test how well the hypothalamus and the pituitary glands are working. Proceeds from website advertising help support our mission. Mayo Clinic does not endorse non-Mayo products and services.",open-ended,"['How does gonadorelin work in the body?', 'What are the applications of gonadorelin in estrous synchrony programs?', 'How does GnRH influence the reproductive system?']"
48,"German air attacks on the British Isles increased in 1915 and the AA efforts were deemed somewhat ineffective, so a Royal Navy gunnery expert, Admiral Sir Percy Scott, was appointed to make improvements, particularly an integrated AA defence for London. The air defences were expanded with more RNVR AA guns, 75 mm and 3-inch, the pom-poms being ineffective. The naval 3-inch was also adopted by the army, the QF 3 inch 20 cwt (76 mm), a new field mounting was introduced in 1916. Since most attacks were at night, searchlights were soon used, and acoustic methods of detection and locating were developed. By December 1916 there were 183 AA Sections defending Britain (most with the 3-inch), 74 with the BEF in France and 10 in the Middle East.",binary,"['Were pom-pom guns effective against air attacks?', 'Were searchlights used in World War I?', 'Did the British army adopt the naval 3-inch gun?']"
49,"German air attacks on the British Isles increased in 1915 and the AA efforts were deemed somewhat ineffective, so a Royal Navy gunnery expert, Admiral Sir Percy Scott, was appointed to make improvements, particularly an integrated AA defence for London. The air defences were expanded with more RNVR AA guns, 75 mm and 3-inch, the pom-poms being ineffective. The naval 3-inch was also adopted by the army, the QF 3 inch 20 cwt (76 mm), a new field mounting was introduced in 1916. Since most attacks were at night, searchlights were soon used, and acoustic methods of detection and locating were developed. By December 1916 there were 183 AA Sections defending Britain (most with the 3-inch), 74 with the BEF in France and 10 in the Middle East.",factual,"['Why was Admiral Sir Percy Scott appointed?', 'What was the size of the RNVR AA gun?', 'When was the QF 3 inch 20 cwt introduced?', 'How many AA Sections were defending Britain by December 1916?', 'Where were acoustic methods of detection developed?']"
50,"German air attacks on the British Isles increased in 1915 and the AA efforts were deemed somewhat ineffective, so a Royal Navy gunnery expert, Admiral Sir Percy Scott, was appointed to make improvements, particularly an integrated AA defence for London. The air defences were expanded with more RNVR AA guns, 75 mm and 3-inch, the pom-poms being ineffective. The naval 3-inch was also adopted by the army, the QF 3 inch 20 cwt (76 mm), a new field mounting was introduced in 1916. Since most attacks were at night, searchlights were soon used, and acoustic methods of detection and locating were developed. By December 1916 there were 183 AA Sections defending Britain (most with the 3-inch), 74 with the BEF in France and 10 in the Middle East.",open-ended,"['How did the role of technology evolve in aerial warfare during World War I?', 'What were the strategic challenges of defending a large area like the British Isles from air attacks?', 'How did the increase in German air attacks impact the development of air defense strategies?']"
51,"Gorbachev refused to make any changes to the status of Nagorno Karabakh, which remained part of Azerbaijan. He instead sacked the Communist Party Leaders in both Republics – on May 21, 1988, Kamran Baghirov was replaced by Abdulrahman Vezirov as First Secretary of the Azerbaijan Communist Party. From July 23 to September 1988, a group of Azerbaijani intellectuals began working for a new organization called the Popular Front of Azerbaijan, loosely based on the Estonian Popular Front. On September 17, when gun battles broke out between the Armenians and Azerbaijanis near Stepanakert, two soldiers were killed and more than two dozen injured. This led to almost tit-for-tat ethnic polarization in Nagorno-Karabakh's two main towns: The Azerbaijani minority was expelled from Stepanakert, and the Armenian minority was expelled from Shusha. On November 17, 1988, in response to the exodus of tens of thousands of Azerbaijanis from Armenia, a series of mass demonstrations began in Baku's Lenin Square, lasting 18 days and attracting half a million demonstrators. On December 5, 1988, the Soviet militia finally moved in, cleared the square by force, and imposed a curfew that lasted ten months.",binary,"['Did Gorbachev agree to change the status of Nagorno-Karabakh?', 'Was the Popular Front of Azerbaijan formed in 1988?', 'Did the Soviet militia intervene in the demonstrations in Baku?']"
52,"Gorbachev refused to make any changes to the status of Nagorno Karabakh, which remained part of Azerbaijan. He instead sacked the Communist Party Leaders in both Republics – on May 21, 1988, Kamran Baghirov was replaced by Abdulrahman Vezirov as First Secretary of the Azerbaijan Communist Party. From July 23 to September 1988, a group of Azerbaijani intellectuals began working for a new organization called the Popular Front of Azerbaijan, loosely based on the Estonian Popular Front. On September 17, when gun battles broke out between the Armenians and Azerbaijanis near Stepanakert, two soldiers were killed and more than two dozen injured. This led to almost tit-for-tat ethnic polarization in Nagorno-Karabakh's two main towns: The Azerbaijani minority was expelled from Stepanakert, and the Armenian minority was expelled from Shusha. On November 17, 1988, in response to the exodus of tens of thousands of Azerbaijanis from Armenia, a series of mass demonstrations began in Baku's Lenin Square, lasting 18 days and attracting half a million demonstrators. On December 5, 1988, the Soviet militia finally moved in, cleared the square by force, and imposed a curfew that lasted ten months.",factual,"['Who replaced Kamran Baghirov as First Secretary of the Azerbaijan Communist Party?', 'What organization was formed by Azerbaijani intellectuals in 1988?', 'What happened on September 17, 1988, near Stepanakert?', 'Where did mass demonstrations take place in response to the exodus of Azerbaijanis?']"
53,"Gorbachev refused to make any changes to the status of Nagorno Karabakh, which remained part of Azerbaijan. He instead sacked the Communist Party Leaders in both Republics – on May 21, 1988, Kamran Baghirov was replaced by Abdulrahman Vezirov as First Secretary of the Azerbaijan Communist Party. From July 23 to September 1988, a group of Azerbaijani intellectuals began working for a new organization called the Popular Front of Azerbaijan, loosely based on the Estonian Popular Front. On September 17, when gun battles broke out between the Armenians and Azerbaijanis near Stepanakert, two soldiers were killed and more than two dozen injured. This led to almost tit-for-tat ethnic polarization in Nagorno-Karabakh's two main towns: The Azerbaijani minority was expelled from Stepanakert, and the Armenian minority was expelled from Shusha. On November 17, 1988, in response to the exodus of tens of thousands of Azerbaijanis from Armenia, a series of mass demonstrations began in Baku's Lenin Square, lasting 18 days and attracting half a million demonstrators. On December 5, 1988, the Soviet militia finally moved in, cleared the square by force, and imposed a curfew that lasted ten months.",open-ended,"['What were the key events leading to the escalation of conflict in Nagorno-Karabakh?', ""How did Gorbachev's policies contribute to the tensions in the region?"", 'What were the short-term and long-term consequences of the events described in the context?']"
54,"He was traded to the Miami Heat in 1992 and later on, he signed with the Chicago Bulls where he helped Scottie Pippen, Michael Jordan and Dennis Rodman won the season. The Salley retired.He has also joined the Los Angeles Lakers led by Kobe Bryant and Shaquille O’Neal.e was traded to the Miami Heat in 1992 and later on, he signed with the Chicago Bulls where he helped Scottie Pippen, Michael Jordan and Dennis Rodman won the season. The Salley retired.He has also joined the Los Angeles Lakers led by Kobe Bryant and Shaquille O’Neal.John Salley net worth: $16 Million. John Salley Net Worth and salary: John Salley is an American former professional basketball player who has a net worth of $16 million. John Salley was born in Brooklyn, New York, in 1964.The seven-foot power forward and center played college basketball at Georgia Tech University where he earned third-team All-American honors in 1986.ohn Salley was born in Brooklyn, New York, in 1964. The seven-foot power forward and center played college basketball at Georgia Tech University where he earned third-team All-American honors in 1986.",binary,"['Did John Salley play in the NBA?', 'Was John Salley a successful basketball player?', 'Is John Salley still actively playing basketball?']"
55,"He was traded to the Miami Heat in 1992 and later on, he signed with the Chicago Bulls where he helped Scottie Pippen, Michael Jordan and Dennis Rodman won the season. The Salley retired.He has also joined the Los Angeles Lakers led by Kobe Bryant and Shaquille O’Neal.e was traded to the Miami Heat in 1992 and later on, he signed with the Chicago Bulls where he helped Scottie Pippen, Michael Jordan and Dennis Rodman won the season. The Salley retired.He has also joined the Los Angeles Lakers led by Kobe Bryant and Shaquille O’Neal.John Salley net worth: $16 Million. John Salley Net Worth and salary: John Salley is an American former professional basketball player who has a net worth of $16 million. John Salley was born in Brooklyn, New York, in 1964.The seven-foot power forward and center played college basketball at Georgia Tech University where he earned third-team All-American honors in 1986.ohn Salley was born in Brooklyn, New York, in 1964. The seven-foot power forward and center played college basketball at Georgia Tech University where he earned third-team All-American honors in 1986.",factual,"['When did John Salley join the Miami Heat?', ""Who were some of John Salley's teammates on the Chicago Bulls?"", 'What position did John Salley play in basketball?', 'What college did John Salley attend?', 'What year was John Salley born?']"
56,"He was traded to the Miami Heat in 1992 and later on, he signed with the Chicago Bulls where he helped Scottie Pippen, Michael Jordan and Dennis Rodman won the season. The Salley retired.He has also joined the Los Angeles Lakers led by Kobe Bryant and Shaquille O’Neal.e was traded to the Miami Heat in 1992 and later on, he signed with the Chicago Bulls where he helped Scottie Pippen, Michael Jordan and Dennis Rodman won the season. The Salley retired.He has also joined the Los Angeles Lakers led by Kobe Bryant and Shaquille O’Neal.John Salley net worth: $16 Million. John Salley Net Worth and salary: John Salley is an American former professional basketball player who has a net worth of $16 million. John Salley was born in Brooklyn, New York, in 1964.The seven-foot power forward and center played college basketball at Georgia Tech University where he earned third-team All-American honors in 1986.ohn Salley was born in Brooklyn, New York, in 1964. The seven-foot power forward and center played college basketball at Georgia Tech University where he earned third-team All-American honors in 1986.",open-ended,"[""What were some of John Salley's accomplishments in basketball?"", 'What teams did John Salley play for during his career?', ""How would you describe John Salley's playing style?""]"
57,"Houston is considered to be a politically divided city whose balance of power often sways between Republicans and Democrats. Much of the city's wealthier areas vote Republican while the city's working class and minority areas vote Democratic. According to the 2005 Houston Area Survey, 68 percent of non-Hispanic whites in Harris County are declared or favor Republicans while 89 percent of non-Hispanic blacks in the area are declared or favor Democrats. About 62 percent Hispanics (of any race) in the area are declared or favor Democrats. The city has often been known to be the most politically diverse city in Texas, a state known for being generally conservative. As a result, the city is often a contested area in statewide elections. In 2009, Houston became the first US city with a population over 1 million citizens to elect a gay mayor, by electing Annise Parker.",binary,"['Is Houston considered a politically divided city?', 'Do wealthier areas in Houston tend to vote Republican?', 'Did Annise Parker become the mayor of Houston in 2009?']"
58,"Houston is considered to be a politically divided city whose balance of power often sways between Republicans and Democrats. Much of the city's wealthier areas vote Republican while the city's working class and minority areas vote Democratic. According to the 2005 Houston Area Survey, 68 percent of non-Hispanic whites in Harris County are declared or favor Republicans while 89 percent of non-Hispanic blacks in the area are declared or favor Democrats. About 62 percent Hispanics (of any race) in the area are declared or favor Democrats. The city has often been known to be the most politically diverse city in Texas, a state known for being generally conservative. As a result, the city is often a contested area in statewide elections. In 2009, Houston became the first US city with a population over 1 million citizens to elect a gay mayor, by electing Annise Parker.",factual,"['Which political parties are dominant in Houston?', 'What percentage of non-Hispanic whites in Harris County favor Republicans?', 'When did Houston elect its first gay mayor?', ""What is Houston's reputation in terms of political diversity?""]"
59,"Houston is considered to be a politically divided city whose balance of power often sways between Republicans and Democrats. Much of the city's wealthier areas vote Republican while the city's working class and minority areas vote Democratic. According to the 2005 Houston Area Survey, 68 percent of non-Hispanic whites in Harris County are declared or favor Republicans while 89 percent of non-Hispanic blacks in the area are declared or favor Democrats. About 62 percent Hispanics (of any race) in the area are declared or favor Democrats. The city has often been known to be the most politically diverse city in Texas, a state known for being generally conservative. As a result, the city is often a contested area in statewide elections. In 2009, Houston became the first US city with a population over 1 million citizens to elect a gay mayor, by electing Annise Parker.",open-ended,"['How does the political landscape of Houston reflect broader trends in Texas?', ""What are the factors contributing to Houston's political diversity?"", ""How has Houston's political climate influenced its social and economic development?""]"
60,"How m-commerce can expand the reach of e-commerce. First describe how m-commerce can expand the reach of e-commerce. Then, imagine you work for a fashion retailer and are in charge of a new mobile advertising campaign designed to generate sales for a new clothing line. Explain how you would use m-commerce concepts and elements of e-commerce to meet your objective. The post should be a minimum of 200 words. Respond to two other learners.Discussion 1 M-Commerce First describe how m-comme... Discussion 1 M-Commerce First describe how m-commerce can expand the reach of e-commerce. Then, imagine you work for a fashion retailer and are in charge of a new mobile advertising campaign designed to generate sales for a new clothing line.",binary,"['Is m-commerce an effective way to reach a wider audience?', 'Can m-commerce drive sales for a new product launch?', 'Does m-commerce rely on mobile devices for transactions?']"
61,"How m-commerce can expand the reach of e-commerce. First describe how m-commerce can expand the reach of e-commerce. Then, imagine you work for a fashion retailer and are in charge of a new mobile advertising campaign designed to generate sales for a new clothing line. Explain how you would use m-commerce concepts and elements of e-commerce to meet your objective. The post should be a minimum of 200 words. Respond to two other learners.Discussion 1 M-Commerce First describe how m-comme... Discussion 1 M-Commerce First describe how m-commerce can expand the reach of e-commerce. Then, imagine you work for a fashion retailer and are in charge of a new mobile advertising campaign designed to generate sales for a new clothing line.",factual,"['How can m-commerce expand the reach of e-commerce?', 'What is the objective of the mobile advertising campaign mentioned?', 'What is the minimum word count for the post?']"
62,"How m-commerce can expand the reach of e-commerce. First describe how m-commerce can expand the reach of e-commerce. Then, imagine you work for a fashion retailer and are in charge of a new mobile advertising campaign designed to generate sales for a new clothing line. Explain how you would use m-commerce concepts and elements of e-commerce to meet your objective. The post should be a minimum of 200 words. Respond to two other learners.Discussion 1 M-Commerce First describe how m-comme... Discussion 1 M-Commerce First describe how m-commerce can expand the reach of e-commerce. Then, imagine you work for a fashion retailer and are in charge of a new mobile advertising campaign designed to generate sales for a new clothing line.",open-ended,"['How would you design a mobile advertising campaign for a new clothing line using m-commerce?', 'What are the benefits of using m-commerce for a fashion retailer?', 'How can m-commerce enhance the customer experience for online shoppers?']"
63,"In 1885, British claims to a West African sphere of influence received recognition from other European nations at the Berlin Conference. The following year, it chartered the Royal Niger Company under the leadership of Sir George Taubman Goldie. In 1900 the company's territory came under the control of the British government, which moved to consolidate its hold over the area of modern Nigeria. On 1 January 1901, Nigeria became a British protectorate, and part of the British Empire, the foremost world power at the time. In the late 19th and early 20th centuries the independent kingdoms of what would become Nigeria fought a number of conflicts against the British Empire's efforts to expand its territory. By war, the British conquered Benin in 1897, and, in the Anglo-Aro War (1901–1902), defeated other opponents. The restraint or conquest of these states opened up the Niger area to British rule.",binary,"['Was the Royal Niger Company successful in resisting British control?', 'Did the British Empire face resistance from indigenous kingdoms while expanding in West Africa?', ""Did the British Empire's control of Nigeria last for centuries?""]"
64,"In 1885, British claims to a West African sphere of influence received recognition from other European nations at the Berlin Conference. The following year, it chartered the Royal Niger Company under the leadership of Sir George Taubman Goldie. In 1900 the company's territory came under the control of the British government, which moved to consolidate its hold over the area of modern Nigeria. On 1 January 1901, Nigeria became a British protectorate, and part of the British Empire, the foremost world power at the time. In the late 19th and early 20th centuries the independent kingdoms of what would become Nigeria fought a number of conflicts against the British Empire's efforts to expand its territory. By war, the British conquered Benin in 1897, and, in the Anglo-Aro War (1901–1902), defeated other opponents. The restraint or conquest of these states opened up the Niger area to British rule.",factual,"['When did the British Empire gain recognition for their claims to a West African sphere of influence?', 'Who led the Royal Niger Company?', 'When did Nigeria become a British protectorate?', ""What happened to the Royal Niger Company's territory in 1900?"", 'In what year did the British conquer Benin?']"
65,"In 1885, British claims to a West African sphere of influence received recognition from other European nations at the Berlin Conference. The following year, it chartered the Royal Niger Company under the leadership of Sir George Taubman Goldie. In 1900 the company's territory came under the control of the British government, which moved to consolidate its hold over the area of modern Nigeria. On 1 January 1901, Nigeria became a British protectorate, and part of the British Empire, the foremost world power at the time. In the late 19th and early 20th centuries the independent kingdoms of what would become Nigeria fought a number of conflicts against the British Empire's efforts to expand its territory. By war, the British conquered Benin in 1897, and, in the Anglo-Aro War (1901–1902), defeated other opponents. The restraint or conquest of these states opened up the Niger area to British rule.",open-ended,"['How did the Berlin Conference contribute to the scramble for Africa?', 'What were the long-term consequences of British colonialism in Nigeria?', ""How did the British Empire's expansion impact the indigenous populations of West Africa?""]"
66,"In 2013 professors at Harvard University had an average nine month salary of $205,504. This is $2,124 less than professors earned in 2012, the most recently reported prior year, and a 1.0 percent decrease in earnings in comparison to the previous year's average nine month salary ($207,628). In 2013 professors at Harvard University had an average monthly salary of $22,834. This is $236 less than professors earned per month in 2012, the most recently reported prior year, and a 1.0 percent decrease in monthly earnings in comparison to the previous year's average monthly salary ($23,070).In 2013 professors at Harvard University had an effective annual salary of $274,005. This is $2,832 less than professors earned in 2012, the most recently reported prior year, and a 1.0 percent decrease in effective annual salary in comparison to the previous year's average annual salary ($276,837). In 2013 professors at Harvard University had an average monthly salary of $22,834. This is $236 less than professors earned per month in 2012, the most recently reported prior year, and a 1.0 percent decrease in monthly earnings in comparison to the previous year's average monthly salary ($23,070).",binary,"['Did Harvard professors earn more in 2012 than in 2013?', 'Was the decrease in professor salaries at Harvard greater than 5%?']"
67,"In 2013 professors at Harvard University had an average nine month salary of $205,504. This is $2,124 less than professors earned in 2012, the most recently reported prior year, and a 1.0 percent decrease in earnings in comparison to the previous year's average nine month salary ($207,628). In 2013 professors at Harvard University had an average monthly salary of $22,834. This is $236 less than professors earned per month in 2012, the most recently reported prior year, and a 1.0 percent decrease in monthly earnings in comparison to the previous year's average monthly salary ($23,070).In 2013 professors at Harvard University had an effective annual salary of $274,005. This is $2,832 less than professors earned in 2012, the most recently reported prior year, and a 1.0 percent decrease in effective annual salary in comparison to the previous year's average annual salary ($276,837). In 2013 professors at Harvard University had an average monthly salary of $22,834. This is $236 less than professors earned per month in 2012, the most recently reported prior year, and a 1.0 percent decrease in monthly earnings in comparison to the previous year's average monthly salary ($23,070).",factual,"['What was the average nine-month salary for Harvard professors in 2013?', 'By what percentage did professor salaries at Harvard decrease from 2012 to 2013?', 'What was the effective annual salary for Harvard professors in 2012?']"
